;Exportations-2000-02;Importations-2000-02;Exportations-2015;Importations-2015;Exportations-2016;Importations-2016;Exportations-2017;Importations-2017
Fruits;;;;;;;;
Pommes;1352;8591;1168;6361;1219;11059;445;11919
Poires;125;8786;58;7260;45;10382;18;9888
Abricots;31;9154;62;9421;7;8693;8;11934
Cerises;7;3373;13;3064;1;3289;14;3755
Prunes et pruneaux;15;5249;34;6422;39;8036;51;7859
Fraises;23;11424;38;14421;4;14904;28;14455
Raisins;60;38447;39;34018;112;33777;73;34000
Agrumes;107;124102;205;143983;163;145984;158;143965
Bananes;3;73363;0;88619;12;91310;37;93842
;Exportations-2000-02;Importations-2000-02;Exportations-2015;Importations-2015;Exportations-2016;Importations-2016;Exportations-2017;Importations-2017
Legumes;;;;;;;;
Carottes;26;6739;1;10002;0;4177;19;3589
Oignons;51;6432;151;2777;31;6976;7;3145
Céleris-raves;0;287;0;255;0;407;0;7
Tomates;25;42449;67;39064;96;38411;25;37245
Laitues pommées;3;2537;0;3305;1;3745;37;3276
Choux-fleurs;1;9067;18;8762;56;8686;1;8273
Concombres;21;17046;14;16608;7;17116;11;20056